,ranks,title,singer,genre
0,1,뱅뱅뱅 (BANG BANG BANG),BIGBANG (빅뱅),랩/힙합
1,2,같은 시간 속의 너,나얼,R&B/Soul
2,3,꺼내 먹어요,Zion.T,R&B/Soul
3,4,이럴거면 그러지말지 (Feat. Young K),백아연,발라드
4,5,위잉위잉,혁오 (HYUKOH),"인디음악, 록/메탈"
5,6,LOSER,BIGBANG (빅뱅),랩/힙합
6,7,BAE BAE,BIGBANG (빅뱅),랩/힙합
7,8,그냥 (Just),"Zion.T, Crush",R&B/Soul
8,9,양화대교,Zion.T,R&B/Soul
9,10,우연히 봄,"로꼬, 유주 (YUJU)","발라드, 랩/힙합, 국내드라마"
10,11,또 다시 사랑,임창정,발라드
11,12,레옹,"이유 갓지(GOD G) 않은 이유 (박명수, 아이유)",댄스
12,13,SHAKE IT,씨스타,댄스
13,14,와리가리,혁오 (HYUKOH),"인디음악, 록/메탈"
14,15,위아래,EXID,댄스
15,16,심쿵해 (Heart Attack),AOA,댄스
16,17,겁 (Feat. 태양),MINO (송민호),랩/힙합
17,18,Puss (Prod.by 라이머),"지민, 아이언",랩/힙합
18,19,다른 남자 말고 너,미쓰에이,댄스
19,20,두사랑 (Feat. 매드클라운),다비치,발라드
20,21,마음,아이유,포크/블루스
21,22,CALL ME BABY,EXO,댄스
22,23,Me You (Feat. 백예린 Of 15&),San E,랩/힙합
23,24,그 남잔 말야,엠씨더맥스 (M.C the MAX),"발라드, 국내드라마"
24,25,목소리,노을,발라드
25,26,음오아예 (Um Oh Ah Yeh),마마무 (Mamamoo),댄스
26,27,사월의 눈,허각,발라드
27,28,어머님이 누구니 (Feat. 제시),박진영,댄스
28,29,취향저격,iKON,랩/힙합
29,30,야생화,박효신,발라드
30,31,Ah Yeah,EXID,댄스
31,32,오늘부터 우리는 (Me Gustas Tu),여자친구 (GFRIEND),댄스
32,33,화 (Feat. 진실 Of Mad Soul Child) (Fire),매드클라운,랩/힙합
33,34,I (Feat. 버벌진트),태연 (TAEYEON),록/메탈
34,35,IF YOU,BIGBANG (빅뱅),포크/블루스
35,36,바람이나 좀 쐐 (Feat. 우혜미),개리,랩/힙합
36,37,맙소사,"황태지 (황광희, 태양, 지드래곤)",댄스
