,ranks,title,singer,genre
0,1,첫눈처럼 너에게 가겠다,에일리(Ailee),"발라드, 국내드라마"
1,2,밤편지,아이유,발라드
2,3,좋니,윤종신,발라드
3,4,좋다고 말해,볼빨간사춘기,"인디음악, 포크/블루스"
4,5,Marry Me,"마크툽 (MAKTUB), 구윤회",발라드
5,6,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),R&B/Soul
6,7,팔레트 (Feat. G-DRAGON),아이유,R&B/Soul
7,8,Beautiful,Crush,"발라드, R&B/Soul, 국내드라마"
8,9,오늘 취하면 (Feat. 창모) (Prod. SUGA),SURAN (수란),R&B/Soul
9,10,KNOCK KNOCK,TWICE (트와이스),댄스
10,11,REALLY REALLY,WINNER,댄스
11,12,봄날,방탄소년단,랩/힙합
12,13,오랜 날 오랜 밤,AKMU (악뮤),포크/블루스
13,14,우주를 줄게,볼빨간사춘기,"인디음악, 포크/블루스"
14,15,나만 안되는 연애,볼빨간사춘기,"인디음악, 포크/블루스"
15,16,남이 될 수 있을까,"볼빨간사춘기, 스무살","인디음악, 포크/블루스"
16,17,사랑이 잘 (With 오혁),아이유,R&B/Soul
17,18,선물,멜로망스,"발라드, 인디음악"
18,19,마지막처럼,BLACKPINK,댄스
19,20,매일 듣는 노래 (A Daily Song),황치열,발라드
20,21,에라 모르겠다,BIGBANG (빅뱅),랩/힙합
21,22,널 너무 모르고,헤이즈 (Heize),랩/힙합
22,23,불장난,BLACKPINK,댄스
23,24,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),댄스
24,25,Stay With Me,"찬열 (CHANYEOL), 펀치 (Punch)","발라드, 랩/힙합, 국내드라마"
25,26,New Face,싸이 (PSY),댄스
26,27,TT,TWICE (트와이스),댄스
27,28,처음부터 너와 나,볼빨간사춘기,"발라드, 국내드라마"
28,29,시차 (We Are) (Feat. 로꼬 & GRAY),우원재,랩/힙합
29,30,Rookie,Red Velvet (레드벨벳),댄스
30,31,오빠야,신현희와김루트,"인디음악, 포크/블루스"
31,32,SIGNAL,TWICE (트와이스),댄스
32,33,Decalcomanie (데칼코마니),마마무 (Mamamoo),댄스
33,34,그대라는 사치,한동근,발라드
34,35,"무제(無題) (Untitled, 2014)",G-DRAGON,R&B/Soul
35,36,부담이 돼 (Feat. 휘인 Of 마마무),정키,발라드
36,37,BLUE MOON (Prod. GroovyRoom),"효린, 창모 (CHANGMO)",댄스
37,38,가시나,선미,댄스
38,39,"All I Wanna Do (K) (Feat. Hoody, Loco)",박재범,R&B/Soul
39,40,어디에도,엠씨더맥스 (M.C the MAX),발라드
40,41,돌아오지마 (Feat. 용준형 Of 비스트),헤이즈 (Heize),랩/힙합
41,42,I LUV IT,싸이 (PSY),댄스
42,43,심술,볼빨간사춘기,"인디음악, 포크/블루스"
43,44,피 땀 눈물,방탄소년단,랩/힙합
44,45,D (half moon) (Feat. 개코),DEAN,R&B/Soul
45,46,썸 탈꺼야,볼빨간사춘기,"인디음악, 포크/블루스"
46,47,얼굴 찌푸리지 말아요,하이라이트 (Highlight),댄스
47,48,너였다면,정승환,"발라드, 국내드라마"
48,49,I Miss You,소유 (SOYOU),"발라드, 국내드라마"
49,50,이 소설의 끝을 다시 써보려 해,한동근,발라드
50,51,나로 말할 것 같으면 (Yes I am),마마무 (Mamamoo),댄스
51,52,Fine,태연 (TAEYEON),발라드
52,53,all of my life,박원,발라드
53,54,당신의 밤 (Feat. 오혁),황광희 X 개코,랩/힙합
54,55,아름다워,창모 (CHANGMO),랩/힙합
55,56,에너제틱 (Energetic),Wanna One (워너원),댄스
56,57,YESTERDAY,블락비 (Block B),댄스
57,58,이쁘다니까,에디킴,"발라드, 국내드라마"
58,59,미치고 싶다,한동근,발라드
59,60,Artist,지코 (ZICO),랩/힙합
60,61,노래,Zion.T,R&B/Soul
61,62,저 별,헤이즈 (Heize),R&B/Soul
62,63,내가 저지른 사랑,임창정,발라드
63,64,맞지?,언니쓰,댄스
64,65,TOMBOY,혁오 (HYUKOH),"인디음악, 록/메탈"
65,66,마에스트로 (Maestro),창모 (CHANGMO),랩/힙합
66,67,가을 아침,아이유,포크/블루스
