,ranks,title,singer,genre
0,1,"
No.1
",보아 (BoA),댄스
1,2,"
우린 제법 잘 어울려요
",성시경,발라드
2,3,"
Never Ending Story
",부활,록/메탈
3,4,"
비몽
",코요태,댄스
4,5,"
좋은사람
",박효신,발라드
5,6,"
사랑 Two
",윤도현,록/메탈
6,7,"
...안 되나요... (부제: 화양연화)
",휘성 (Realslow),R&B/Soul
7,8,"
미워도 다시 한번 (Original Ver.)
",바이브,발라드
8,9,"
Last Scene
",롤러 코스터,록/메탈
9,10,"
아로하
",쿨 (COOL),발라드
10,11,"
Bravo, My Life!
",봄여름가을겨울,록/메탈
11,12,"
꿈에
",박정현,발라드
12,13,"
사랑해도 헤어질 수 있다면...
",신승훈,발라드
13,14,"
처음부터 지금까지
",Ryu (류),발라드
14,15,"
Sea Of Love
",플라이 투 더 스카이,R&B/Soul
15,16,"
Sweet Dream
",장나라,발라드
16,17,"
사랑해도 될까요?
",유리상자,발라드
17,18,"
그리고 사랑해
",이수영,발라드
18,19,"
Rain
",박혜경,록/메탈
19,20,"
미련한 사랑
",JK 김동욱,국내드라마
20,21,"
내생에 봄날은...
",캔,발라드
21,22,"
Memories... (Smiling Tears)
",윤미래,"발라드, 랩/힙합"
22,23,"
부탁해요
",왁스,발라드
23,24,"
가슴앓이
",지영선,발라드
24,25,"
4월 이야기 (April Story)
",장나라,발라드
25,26,"
우연
",베이비복스,댄스
26,27,"
A Better Day
",JTL,랩/힙합
27,28,"
Loving You
",김현철,발라드
28,29,"
떠나가라
",Q.O.Q,댄스
29,30,"
대화가 필요해
",더 자두,발라드
30,31,"
낭만고양이
",체리 필터,"인디음악, 록/메탈"
31,32,"
사랑하나요!?
",이승환,록/메탈
32,33,"
이별후애(愛)
",린애,발라드
33,34,"
마지막 약속
",포지션,발라드
34,35,"
팬이야
",자우림,록/메탈
35,36,"
전할 수 없는 이야기 (부제:시티 오브 엔젤)
",휘성 (Realslow),R&B/Soul
36,37,"
슬픈 혼잣말
",임창정,발라드
37,38,"
If I Leave (나 가거든)
",조수미,"발라드, 국내드라마"
38,39,"
잘가요
",정재욱,발라드
39,40,"
잘못
",이승환,발라드
40,41,"
다시 사랑한다면
",도원경,록/메탈
41,42,"
후(後)
",홍경민,발라드
42,43,"
Valenti
",보아 (BoA),댄스
43,44,"
너의 마음을 내게 준다면
",조관우,발라드
44,45,"
Summer Vacation
",SMTOWN,댄스
45,46,"
Season In The Sun
",정재욱,발라드
46,47,"
라라라
",이수영,발라드
47,48,"
나쁜 남자
",비,댄스
48,49,"
어머니
",원타임,랩/힙합
49,50,"
Heaven
",김현성,발라드
50,51,"
콩가
",컨츄리 꼬꼬,댄스
51,52,"
반
",이정현,댄스
52,53,"
진실
",쿨 (COOL),댄스
53,54,"
정상에서
",김정민,발라드
54,55,"
Loving You
",신승훈,발라드
55,56,"
Perfect Man
",신화,댄스
56,57,"
달팽이와 해바라기 (Men's Ver.)
",여행스케치,포크/블루스
57,58,"
동경소녀
",김광진,발라드
58,59,"
U
",S.E.S.,댄스
59,60,"
안녕
",이소라,발라드
60,61,"
랄랄라
",클론,댄스
61,62,"
무한대
",주석,랩/힙합
62,63,"
영원
",핑클 (Fin.K.L),발라드
63,64,"
미안해
",김장훈,발라드
64,65,"
아낌없이 주는 나무 (Generous...)
",문희준,록/메탈
65,66,"
화해연가 (和解戀歌)
",봄여름가을겨울,록/메탈
66,67,"
난 사랑에 빠졌죠
",박지윤,댄스
67,68,"
Buenos Aires
",불독 맨션,"인디음악, 록/메탈"
68,69,"
다시 사랑한다 말할까
",김동률,발라드
69,70,"
그녀의 매력 (Disco)
",홍경민,댄스
70,71,"
단칼 (Dance)
",김현정,댄스
71,72,"
사랑해, 이 말 밖엔...
",리치,발라드
72,73,"
Now
",은지원,랩/힙합
73,74,"
어떤가요
",박화요비,발라드
74,75,"
I Pray 4 U
",신화,댄스
75,76,"
애련
",코요태,댄스
76,77,"
More Than Words
",오션 (5TION),R&B/Soul
77,78,"
출국 (出國)
",하림,발라드
78,79,"
남자니까
",김종국,댄스
79,80,"
Starry Night
",김종서,록/메탈
80,81,"
빨간 운동화
",박혜경,록/메탈
81,82,"
안녕이란 말 대신
",비,댄스
82,83,"
착각의 늪
",박경림,발라드
83,84,"
구해주오
",CB Mass,랩/힙합
84,85,"
챔피언
",싸이 (PSY),댄스
85,86,"
사랑하고 싶어
",왁스,발라드
86,87,"
으악새
",더 자두,댄스
87,88,"
니가 있어야 할 곳
",god,댄스
88,89,"
넌 감동이었어
",성시경,발라드
89,90,"
비의 랩소디
",최재훈,록/메탈
90,91,"
Secret
",제이워크,발라드
91,92,"
여정
",왁스,발라드
92,93,"
Inmost
",이승환,발라드
93,94,"
멋쟁이 신사
",YG Family,랩/힙합
94,95,"
Suddenly
",제이워크,발라드
95,96,"
눈물
",샵,댄스
96,97,"
이사(移徙)
",윤상,발라드
97,98,"
사랑은 기억보다 (Memories)
",강타 (KANGTA),발라드
98,99,"
Remember
",악동클럽,발라드
99,100,"
그녈 위해
",JK 김동욱,발라드
