,ranks,title,singer,genre
0,1,"
Bad Girl Good Girl
",미쓰에이,댄스
1,2,"
잔소리 (With 2AM 슬옹)
",아이유,발라드
2,3,"
죽을 만큼 아파서 (Feat. 멜로우)
",MC몽,랩/힙합
3,4,"
못해 (Feat. 美)
",포맨 (4MEN),발라드
4,5,"
죽어도 못 보내
",2am,발라드
5,6,"
Oh!
",소녀시대 (GIRLS' GENERATION),댄스
6,7,"
2 Different Tears
",원더걸스,댄스
7,8,"
너 때문에 미쳐
",티아라,댄스
8,9,"
밥만 잘 먹더라
","Homme (창민, 이현)",발라드
9,10,"
Go Away
",2NE1,댄스
10,11,"
루팡 (Lupin)
",카라,댄스
11,12,"
시간아 멈춰라
",다비치,댄스
12,13,"
Can't Nobody
",2NE1,댄스
13,14,"
외톨이야
",CNBLUE (씨엔블루),록/메탈
14,15,"
그땐 그땐 그땐
","Supreme Team, 영준",랩/힙합
15,16,"
사랑이 술을 가르쳐 (Feat. 백찬 From 8eight)
",이승기,발라드
16,17,"
고백
",뜨거운 감자,"인디음악, 록/메탈"
17,18,"
Love
",CNBLUE (씨엔블루),록/메탈
18,19,"
19금
나 이런사람이야
",DJ DOC,랩/힙합
19,20,"
HUH
",4minute,댄스
20,21,"
뱅(Bang) !
",애프터스쿨,댄스
21,22,"
Run Devil Run
",소녀시대 (GIRLS' GENERATION),댄스
22,23,"
NU 예삐오 (NU ABO)
",f(x),댄스
23,24,"
Magic
",시크릿,댄스
24,25,"
Change (Feat. 용준형 From Beast)
",현아,댄스
25,26,"
Breathe
",미쓰에이,댄스
26,27,"
본능적으로 (Feat. Swings)
",강승윤,록/메탈
27,28,"
땡땡땡
",Supreme Team,랩/힙합
28,29,"
Bubble Love
","MC몽, 서인영",발라드
29,30,"
잘못했어
",2am,댄스
30,31,"
널 붙잡을 노래
",비,발라드
31,32,"
우리 사랑하게 됐어요.
","가인, 조권",댄스
32,33,"
별이될께
",디셈버,발라드
33,34,"
전활 받지 않는 너에게
",2am,발라드
34,35,"
훗 (Hoot)
",소녀시대 (GIRLS' GENERATION),댄스
35,36,"
아파 (Slow)
",2NE1,발라드
36,37,"
흩어져
",먼데이 키즈 (Monday Kiz),발라드
37,38,"
Shock
",비스트,댄스
38,39,"
배운게 사랑이라
",디셈버,발라드
39,40,"
다시 와주라
",바이브,발라드
40,41,"
이 거지같은 말 (With 정엽 Of 브라운 아이드 소울)
",서영은,발라드
41,42,"
I Need A Girl (Feat. G-dragon)
",태양,R&B/Soul
42,43,"
원더우먼
","씨야, 다비치, 티아라",댄스
