,ranks,title,singer,genre
0,1,"
아시나요
",조성모,발라드
1,2,"
다 줄거야 (Acoustic Ver.)
",조규만,발라드
2,3,"
Run To You
",DJ DOC,"댄스, 랩/힙합"
3,4,"
거짓말
",god,발라드
4,5,"
초련(初戀) (Techno Mix) (Feat. 윤진)
",클론,댄스
5,6,"
가시나무
",조성모,발라드
6,7,"
흔들린 우정
",홍경민,댄스
7,8,"
나의 연인(我戀)
",임창정,발라드
8,9,"
영원
",스카이,"발라드, 록/메탈"
9,10,"
멍
",김현정,댄스
10,11,"
오! 가니
",컨츄리 꼬꼬,댄스
11,12,"
기도
",정일영,"발라드, 국내드라마"
12,13,"
전설속의 누군가처럼
",신승훈,발라드
13,14,"
너를 위해
",임재범,발라드
14,15,"
바보
",박효신,R&B/Soul
15,16,"
그대가 그대를
",이승환,발라드
16,17,"
매직 카펫 라이드
",자우림,록/메탈
17,18,"
중독된 사랑
",조장혁,발라드
18,19,"
해줄 수 없는 일
",박효신,R&B/Soul
19,20,"
고백
",박혜경,록/메탈
20,21,"
비(悲)의 Rhapsody
",최재훈,록/메탈
21,22,"
Love
",윤현석,발라드
22,23,"
오랜 방황의 끝
",김태영,발라드
23,24,"
Day By Day
",플라이 투 더 스카이,R&B/Soul
24,25,"
Tears
",소찬휘,댄스
25,26,"
상실
",박상민,발라드
26,27,"
잘됐어!!!
",샵,댄스
27,28,"
Lie (Radio Ver.)
",박화요비,R&B/Soul
28,29,"
어제처럼
",제이,R&B/Soul
29,30,"
와인(迗人)
",김경호,록/메탈
30,31,"
바꿔
",이정현,댄스
31,32,"
그대니까요 (Duet With 차은주)
",김현철,발라드
32,33,"
와
",이정현,댄스
33,34,"
One Love
",원타임,랩/힙합
34,35,"
요즘 너는
",이현우,발라드
35,36,"
서방님
",이소은,발라드
36,37,"
맥주와 땅콩
",쿨 (COOL),댄스
37,38,"
I Believe
",이수영,발라드
38,39,"
애수(哀愁)
",god,댄스
39,40,"
Cyber Lover
",터보,댄스
40,41,"
머피의 법칙
",DJ DOC,"발라드, 댄스, 랩/힙합"
41,42,"
너를 보내고
",YB,록/메탈
42,43,"
부메랑
",김건모,발라드
43,44,"
Sad Salsa
",백지영,댄스
44,45,"
힘을 내요, 미스터 김
",롤러 코스터,록/메탈
45,46,"
성인식
",박지윤,댄스
46,47,"
울트라맨이야
",서태지,록/메탈
47,48,"
Blue Sky
",박기영,록/메탈
48,49,"
사슬
",서문탁,록/메탈
49,50,"
Annie
",윤종신,발라드
50,51,"
Now
",핑클 (Fin.K.L),댄스
51,52,"
너
",이정현,댄스
52,53,"
크로스
",엄정화,댄스
53,54,"
Marry Me
",이현우,록/메탈
54,55,"
Friday Night
",god,댄스
55,56,"
해석남녀
",쿨 (COOL),댄스
56,57,"
삐에로 (Feat. JED Of D.Bace)
",이현도,랩/힙합
57,58,"
왜
",김민종,발라드
58,59,"
주문을 걸어
",박혜경,록/메탈
59,60,"
ID; Peace B
",보아 (BoA),댄스
60,61,"
그대 내게 묻는다면
",유리상자,발라드
61,62,"
가니
",진주,발라드
62,63,"
아름다운 아픔
",김민종,발라드
63,64,"
왠지 느낌이 좋아
",여행스케치,포크/블루스
64,65,"
부탁
",김원준,"발라드, 댄스"
65,66,"
다짐
",조성모,댄스
66,67,"
연가
",유승준,댄스
67,68,"
너 정말?
",김현정,댄스
68,69,"
Only One
",신화,댄스
69,70,"
한 (Come A Come)
",샤크라,댄스
70,71,"
가시나무
",시인과 촌장,발라드
71,72,"
편지
",채정안,댄스
72,73,"
UPT Paradoxxx
",업타운,랩/힙합
73,74,"
위대한 탄생 (Fetticcini)
",드렁큰 타이거,랩/힙합
74,75,"
Time Out
",제이,R&B/Soul
75,76,"
Back To The Real Life
",윤상,발라드
76,77,"
You Mean Everything To Me
",박정현,R&B/Soul
77,78,"
Dash
",백지영,댄스
78,79,"
Outside Castle (The Castle Outsiders)
",H.O.T.,댄스
79,80,"
飛上(비상)
",주석,랩/힙합
80,81,"
다 알아요
",양파,발라드
81,82,"
Passion
",코요태,댄스
82,83,"
천애 (For You......)
",이지훈,발라드
83,84,"
꼭!
",김건모,댄스
84,85,"
욕망이란 이름...
",박완규,록/메탈
85,86,"
이등병의 편지
",김광석,포크/블루스
86,87,"
Rain
",이적,발라드
87,88,"
엄마야
",신승훈,댄스
88,89,"
Escape
",엄정화,댄스
89,90,"
이해할께
",김현성,발라드
90,91,"
거짓말처럼
",김현정,발라드
91,92,"
날 닮은 너
",임창정,발라드
92,93,"
상처(傷處)
",조성모,댄스
93,94,"
아가페
",이브,록/메탈
94,95,"
Hey U
",샤크라,댄스
95,96,"
노을의 연가
",주영훈,발라드
96,97,"
831 8
",제이,R&B/Soul
97,98,"
Why
",베이비복스,댄스
98,99,"
그대도...내게도...
",에코,발라드
99,100,"
풍변기곡(風變旗曲)
",룰라,댄스
