,ranks,title,singer,genre
0,1,"
Roly-Poly
",티아라,댄스
1,2,"
바람났어 (Feat. 박봄)
",GG (박명수 & G-Dragon),댄스
2,3,"
내가 제일 잘 나가
",2NE1,댄스
3,4,"
비가 오는 날엔
",비스트,발라드
4,5,"
19금
TV를 껐네... (Feat. t윤미래, 권정열 Of 10cm)
",리쌍,"발라드, 랩/힙합"
5,6,"
So Cool (쏘쿨)
",씨스타,댄스
6,7,"
UGLY
",2NE1,댄스
7,8,"
좋은 날
",아이유,댄스
8,9,"
살다가 한번쯤
",포맨 (4MEN),발라드
9,10,"
안녕이라고 말하지마
",다비치,발라드
10,11,"
그리워 그리워
",노을,발라드
11,12,"
Good-bye Baby
",미쓰에이,댄스
12,13,"
Hello
",허각,발라드
13,14,"
Hands Up
",2PM,댄스
14,15,"
별빛달빛
",시크릿,댄스
15,16,"
Hot Summer
",f(x),댄스
16,17,"
Lonely
",2NE1,발라드
17,18,"
압구정 날라리
",처진 달팽이 (유재석 & 이적),댄스
18,19,"
끝사랑
",김범수,발라드
19,20,"
Be My Baby
",원더걸스,댄스
20,21,"
The Boys
",소녀시대 (GIRLS' GENERATION),댄스
21,22,"
서쪽 하늘
",울랄라세션,발라드
22,23,"
동경소녀
",버스커 버스커,록/메탈
23,24,"
Fiction
",비스트,댄스
24,25,"
제발
",김범수,발라드
25,26,"
Don't Cry
",박봄 (Park Bom),댄스
26,27,"
샤이보이
",시크릿,댄스
27,28,"
Bubble Pop!
",현아,댄스
28,29,"
Black & White
",지나,댄스
29,30,"
회상 (Feat. 백지영)
",리쌍,랩/힙합
30,31,"
톡톡 (Tok Tok) (Feat. SOYA)
",마이티 마우스,랩/힙합
31,32,"
Hate You
",2NE1,댄스
32,33,"
Cry Cry
",티아라,댄스
33,34,"
TONIGHT
",BIGBANG (빅뱅),댄스
34,35,"
Oh Yeah (Feat. 박봄)
",GD&TOP,랩/힙합
35,36,"
Ma Boy (마보이)
",씨스타19,댄스
36,37,"
나만 몰랐던 이야기
",아이유,발라드
37,38,"
여우야
",투개월,발라드
38,39,"
반짝반짝
",걸스데이,댄스
39,40,"
Sixth Sense
",브라운아이드걸스,댄스
40,41,"
사랑은 Move
",시크릿,댄스
41,42,"
내꺼중에 최고
",이현,발라드
42,43,"
High High
",GD&TOP,랩/힙합
43,44,"
달의 몰락
",울랄라세션,록/메탈
44,45,"
죽고 싶단 말 밖에
",허각,발라드
45,46,"
연애시대 (Feat. Ra.D) (Narr. 한효주)
",이승기,발라드
46,47,"
미친거니 (Feat. 방용국)
",송지은,발라드
47,48,"
그 남자 그 여자
","포맨 (4MEN), 미(MIIII)",발라드
48,49,"
사랑 사랑아
",다비치,발라드
49,50,"
STEP
",카라,댄스
50,51,"
막걸리나
",버스커 버스커,록/메탈
51,52,"
피노키오 (Danger)
",f(x),댄스
52,53,"
직감
",CNBLUE (씨엔블루),록/메탈
53,54,"
처음 사랑하는 연인들을 위해 (반말송)
",정용화 (CNBLUE),발라드
54,55,"
나란 놈은 답은 너다 (Feat. 하림)
",리쌍,랩/힙합
55,56,"
Mr. Simple
",SUPER JUNIOR (슈퍼주니어),댄스
56,57,"
가슴이 뛴다
",케이윌,발라드
57,58,"
Top Girl
",지나,댄스
58,59,"
너랑 나
",아이유,댄스
59,60,"
친구잖아
",이승기,발라드
60,61,"
좋아보여 (Feat. 검정치마)
",버벌진트,랩/힙합
61,62,"
랄랄라 (Feat. 소야)
",마이티 마우스,댄스
62,63,"
LOVE SONG
",BIGBANG (빅뱅),댄스
63,64,"
나만 부를 수 있는 노래
",바닷길 (길 & 바다),발라드
64,65,"
잘 된 일이야
",나비 (Navi),발라드
65,66,"
CAFE
",BIGBANG (빅뱅),댄스
66,67,"
그 입술을 막아본다
",에이트,발라드
67,68,"
니까짓게
",씨스타,댄스
68,69,"
순정마초
",파리돼지앵 (정형돈 & 정재형),발라드
69,70,"
내꺼하자
",인피니트,댄스
