,ranks,title,singer,genre
0,1,사랑을 했다 (LOVE SCENARIO),iKON,랩/힙합
1,2,그날처럼,장덕철,발라드
2,3,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
3,4,지나오다,닐로(Nilo),발라드
4,5,뿜뿜,모모랜드 (MOMOLAND),댄스
5,6,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,랩/힙합
6,7,선물,멜로망스,"발라드, 인디음악"
7,8,Way Back Home,숀 (SHAUN),"인디음악, 일렉트로니카"
8,9,그때 헤어지면 돼,로이킴,발라드
9,10,여행,볼빨간사춘기,"인디음악, 록/메탈"
10,11,You,멜로망스,발라드
11,12,별이 빛나는 밤,마마무 (Mamamoo),댄스
12,13,주지마,"로꼬, 화사 (Hwa Sa)",발라드
13,14,Roller Coaster,청하,댄스
14,15,My Way,이수 (엠씨더맥스),"발라드, 국내드라마"
15,16,DNA,방탄소년단,랩/힙합
16,17,가을 안부,먼데이 키즈 (Monday Kiz),발라드
17,18,FAKE LOVE,방탄소년단,랩/힙합
18,19,봄날,방탄소년단,랩/힙합
19,20,Dance The Night Away,TWICE (트와이스),댄스
20,21,꽃 길,BIGBANG (빅뱅),R&B/Soul
21,22,밤편지,아이유,발라드
22,23,열애중,벤,발라드
23,24,미안해,양다일,R&B/Soul
24,25,비행운,문문 (MoonMoon),"인디음악, 록/메탈"
25,26,What is Love?,TWICE (트와이스),댄스
26,27,instagram,DEAN,R&B/Soul
27,28,그리워하다,비투비,발라드
28,29,이 별,길구봉구,발라드
29,30,Bad Boy,Red Velvet (레드벨벳),댄스
30,31,밤이 되니까,펀치 (Punch),R&B/Soul
31,32,Forever Young,BLACKPINK,댄스
32,33,Beautiful,Wanna One (워너원),발라드
33,34,Heart Shaker,TWICE (트와이스),댄스
34,35,밤 (Time for the moon night),여자친구 (GFRIEND),댄스
35,36,에너제틱 (Energetic),Wanna One (워너원),댄스
36,37,좋니,윤종신,발라드
37,38,하루도 그대를 사랑하지 않은 적이 없었다,임창정,발라드
38,39,#첫사랑,볼빨간사춘기,"인디음악, 포크/블루스"
39,40,붕붕 (Feat. 식케이) (Prod. GroovyRoom),김하온 (HAON),랩/힙합
40,41,소나기 (Feat. 10cm),용준형,발라드
41,42,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),R&B/Soul
42,43,1도 없어,Apink (에이핑크),댄스
43,44,Universe,EXO,발라드
44,45,너 없인 안 된다,비투비,발라드
45,46,삐삐,아이유,R&B/Soul
46,47,all of my life,박원,발라드
47,48,넋두리,닐로(Nilo),발라드
48,49,너나 해 (Egotistic),마마무 (Mamamoo),댄스
49,50,주인공,선미,댄스
50,51,가을 타나 봐,바이브,발라드
51,52,동화,멜로망스,"발라드, 인디음악"
52,53,비,폴킴,R&B/Soul
53,54,Jenga (Feat. Gaeko),헤이즈 (Heize),랩/힙합
54,55,BOOMERANG (부메랑),Wanna One (워너원),댄스
55,56,시차 (We Are) (Feat. 로꼬 & GRAY),우원재,랩/힙합
56,57,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),댄스
57,58,사이렌 (Siren),선미,댄스
58,59,Power Up,Red Velvet (레드벨벳),댄스
59,60,눈사람,정승환,발라드
60,61,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,랩/힙합
61,62,LIKEY,TWICE (트와이스),댄스
62,63,마지막처럼,BLACKPINK,댄스
63,64,EVERYDAY,WINNER,랩/힙합
64,65,눈 떠보니 이별이더라,포맨 (4MEN),발라드
65,66,첫눈처럼 너에게 가겠다,에일리(Ailee),"발라드, 국내드라마"
66,67,바코드 (Prod. GroovyRoom),"김하온 (HAON), 빈첸",랩/힙합
67,68,헤어지는 중,펀치 (Punch),R&B/Soul
68,69,IDOL,방탄소년단,랩/힙합
69,70,SoulMate (Feat. 아이유),지코 (ZICO),R&B/Soul
70,71,우리 그만하자,로이킴,발라드
71,72,약속해요 (I.P.U.),Wanna One (워너원),댄스
72,73,너를 만나,폴킴,발라드
73,74,기억의 빈자리,나얼,R&B/Soul
74,75,썸 탈꺼야,볼빨간사춘기,"인디음악, 포크/블루스"
75,76,노력,박원,발라드
76,77,REALLY REALLY,WINNER,댄스
77,78,좋아,"민서 (MINSEO), 윤종신",발라드
78,79,피카부 (Peek-A-Boo),Red Velvet (레드벨벳),댄스
79,80,빙글뱅글 (Bingle Bangle),AOA,댄스
80,81,북 (Prod. SLO),"Rohann (이로한), 김농밀",랩/힙합
81,82,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, 키드밀리 (Kid Milli), 루피 (Loopy)",랩/힙합
82,83,LATATA,(여자)아이들,댄스
83,84,고백,양다일,발라드
84,85,답장,김동률,발라드
85,86,SOLO,제니 (JENNIE),랩/힙합
86,87,Anpanman,방탄소년단,랩/힙합
87,88,짙어져,멜로망스,"록/메탈, 국내드라마"
88,89,켜줘 (Light),Wanna One (워너원),댄스
89,90,"그때의 나, 그때의 우리",어반자카파,R&B/Soul
90,91,"셋 셀테니 (1, 2, 3!)",승리,댄스
91,92,욕심,멜로망스,"발라드, 인디음악"
92,93,Lonely (Feat. 태연),종현 (JONGHYUN),R&B/Soul
