,ranks,title,singer,genre
0,1,"
썸 (Feat. 릴보이 Of 긱스)
","소유 (SOYOU), 정기고",R&B/Soul
1,2,"
야생화
",박효신,발라드
2,3,"
눈, 코, 입
",태양,R&B/Soul
3,4,"
금요일에 만나요 (Feat. 장이정 Of HISTORY)
",아이유,발라드
4,5,"
한여름밤의 꿀
","San E, 레이나 (Raina)",랩/힙합
5,6,"
봄 사랑 벚꽃 말고
","HIGH4 (하이포), 아이유",발라드
6,7,"
Mr. Chu (On Stage)
",Apink (에이핑크),댄스
7,8,"
너의 의미 (Feat. 김창완)
",아이유,발라드
8,9,"
Something
",걸스데이,댄스
9,10,"
200%
",AKMU (악뮤),포크/블루스
10,11,"
그대가 분다
",엠씨더맥스 (M.C the MAX),발라드
11,12,"
사람냄새
","정인, 개리",랩/힙합
12,13,"
그 중에 그대를 만나
",이선희,발라드
13,14,"
Come Back Home
",2NE1,일렉트로니카
14,15,"
짧은 치마 (Miniskirt)
",AOA,댄스
15,16,"
너의 모든 순간
",성시경,"발라드, 국내드라마"
16,17,"
너를 너를 너를
",플라이 투 더 스카이,R&B/Soul
17,18,"
신촌을 못가
",포스트맨(Postmen),발라드
18,19,"
예뻐졌다 (Feat. 지코 Of Block B)
",박보람,댄스
19,20,"
Touch My Body
",씨스타,댄스
20,21,"
공허해
",WINNER,발라드
21,22,"
노래가 늘었어
",에일리(Ailee),발라드
22,23,"
너 사용법
",에디킴,포크/블루스
23,24,"
인연
","윤민수(바이브), 신용재 (2F)",발라드
24,25,"
안녕
",효린,"발라드, 국내드라마"
25,26,"
감아 (Feat. Crush)
",로꼬,랩/힙합
26,27,"
Darling
",걸스데이,댄스
27,28,"
나의 옛날이야기
",아이유,발라드
28,29,"
HER
",블락비 (Block B),댄스
29,30,"
까탈레나 (Catallena)
",오렌지 캬라멜,댄스
30,31,"
단발머리 (Short Hair)
",AOA,댄스
31,32,"
너를 원해 (Feat. Beenzino)
",정기고,R&B/Soul
32,33,"
중독 (Overdose)
",EXO-K,댄스
33,34,"
너를 사랑해
",윤미래,"발라드, R&B/Soul, 국내드라마"
34,35,"
나 왜이래 (Feat. 강민희 Of 미스에스)
",San E,"랩/힙합, 국내드라마"
35,36,"
흔한 노래
",임창정,발라드
36,37,"
보름달 (Feat. Lena)
",선미,댄스
37,38,"
너 아님 안돼
",2NE1,일렉트로니카
38,39,"
Give Love
",AKMU (악뮤),포크/블루스
39,40,"
견딜만해 (Feat. 효린 Of 씨스타)
",매드클라운,랩/힙합
40,41,"
애타는 마음
","울랄라세션, 아이유",댄스
41,42,"
손대지마
",에일리(Ailee),댄스
42,43,"
그런 남자
",Bro,발라드
43,44,"
자니 (Feat. Dynamic Duo)
",프라이머리,랩/힙합
44,45,"
My Destiny
",린,"발라드, 국내드라마"
45,46,"
연결고리#힙합
",BOBBY,랩/힙합
46,47,"
오늘부터 1일 (Day 1)
",케이윌,발라드
47,48,"
미운오리새끼
",god,발라드
48,49,"
이제 그만 싸우자
","허각, 정은지",발라드
49,50,"
틈
","소유 (SOYOU), 권순일 (어반자카파), 박용인 (어반자카파)",R&B/Soul
50,51,"
독기
",아이언,랩/힙합
51,52,"
헤픈엔딩 (Feat. 조원선 Of 롤러코스터)
",에픽하이 (EPIK HIGH),랩/힙합
52,53,"
벚꽃 엔딩
",버스커 버스커,록/메탈
53,54,"
오늘 같은 눈물이
",허각,"발라드, 국내드라마"
54,55,"
괜찮아 사랑이야
",다비치,"발라드, 국내드라마"
55,56,"
Mr.Mr.
",소녀시대 (GIRLS' GENERATION),댄스
56,57,"
가슴 시린 이야기 (Feat. 용준형 Of Beast)
",휘성 (Realslow),발라드
57,58,"
내가 그리웠니 (Feat. 진실 Of Mad Soul Child)
",MC몽,랩/힙합
58,59,"
홀로 (Feat. 김나영)
",정키,발라드
59,60,"
살아 봤으면 해
",2NE1,R&B/Soul
60,61,"
그게 나야
",김동률,발라드
61,62,"
19금
조금 이따 샤워해 (Feat. Crush)
",개리,랩/힙합
62,63,"
착해 빠졌어 (Stupid In Love)
","소유 (SOYOU), 매드클라운",랩/힙합
63,64,"
12시 30분
",비스트,발라드
64,65,"
으르렁 (Growl)
",EXO,댄스
65,66,"
19금
Body Language (Feat. 범키)
",San E,랩/힙합
66,67,"
요즘 바쁜가봐
",2BIC(투빅),R&B/Soul
67,68,"
당신만이
","곽진언, 김필, 임도혁",발라드
68,69,"
I Swear
",씨스타,댄스
69,70,"
광화문에서 (At Gwanghwamun)
",규현 (KYUHYUN),발라드
70,71,"
Dali, Van, Picasso
",빈지노 (Beenzino),"랩/힙합, 인디음악"
71,72,"
뜨래요 (Feat. 앙리 Of 3B)
",배치기,랩/힙합
72,73,"
우산
",윤하 (YOUNHA),발라드
73,74,"
19금
BORN HATER (Feat. 빈지노, 버벌진트, B.I, MINO, BOBBY)
",에픽하이 (EPIK HIGH),랩/힙합
74,75,"
Good Luck
",비스트,댄스
75,76,"
하늘색 약속
",god,발라드
76,77,"
JACKPOT
",블락비 (Block B),댄스
77,78,"
빨개요
",현아,댄스
78,79,"
내 생애 가장 행복한 시간 (Feat. 허각)
",MC몽,랩/힙합
79,80,"
멘붕 (CL Solo)
",2NE1,일렉트로니카
80,81,"
화장 지웠어 (Feat. Zion.T, HA:TFELT) (No Make Up)
",개코,랩/힙합
81,82,"
Good-night Kiss
",전효성,댄스
82,83,"
La Song
",비,댄스
83,84,"
I'm In Love
","에일리(Ailee), 2LSON",발라드
84,85,"
A Real Man
","스윙스, 에일리(Ailee)",랩/힙합
85,86,"
끼부리지마
",WINNER,댄스
86,87,"
Can't Stop
",CNBLUE (씨엔블루),록/메탈
87,88,"
별처럼
",케이윌,"발라드, 국내드라마"
88,89,"
나는 달라 (Feat. BOBBY)
",HI SUHYUN,R&B/Soul
89,90,"
티가 나나봐
","15& (박지민, 백예린)",R&B/Soul
90,91,"
LUV
",Apink (에이핑크),댄스
91,92,"
세 사람 (With 성시경)
",토이,발라드
92,93,"
Lonely (없구나)
",B1A4,댄스
93,94,"
헤어졌다 만났다
",다비치,댄스
94,95,"
시간과 낙엽
",AKMU (악뮤),발라드
95,96,"
위아래
",EXID,댄스
96,97,"
묘해, 너와
",어쿠스틱 콜라보,"발라드, 국내드라마"
97,98,"
끝사랑
",김범수,발라드
98,99,"
최고의 행운
",첸 (CHEN),"발라드, 국내드라마"
99,100,"
명수네 떡볶이 (Feat. 김예림, UL)
",박명수,댄스
