,ranks,title,singer,genre
0,1,"
Celebrity
",아이유,댄스
1,2,"
롤린 (Rollin')
",브레이브걸스,댄스
2,3,"
Dynamite
",방탄소년단,댄스
3,4,"
Next Level
",aespa,댄스
4,5,"
라일락
",아이유,댄스
5,6,"
밤하늘의 별을(2020)
",경서,발라드
6,7,"
신호등
",이무진,록/메탈
7,8,"
Butter
",방탄소년단,댄스
8,9,"
내 손을 잡아
",아이유,"발라드, 국내드라마"
9,10,"
밝게 빛나는 별이 되어 비춰줄게
",송이한,R&B/Soul
10,11,"
바라만 본다
",MSG워너비(M.O.M),발라드
11,12,"
잠이 오질 않네요
",장범준,발라드
12,13,"
헤픈 우연
",헤이즈 (Heize),R&B/Soul
13,14,"
Lovesick Girls
",BLACKPINK,댄스
14,15,"
취기를 빌려 (취향저격 그녀 X 산들)
",산들,발라드
15,16,"
VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
","미란이 (Mirani), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)",랩/힙합
16,17,"
운전만해 (We Ride)
",브레이브걸스,댄스
17,18,"
Dun Dun Dance
",오마이걸 (OH MY GIRL),댄스
18,19,"
Blueming
",아이유,록/메탈
19,20,"
에잇(Prod.&Feat. SUGA of BTS)
",아이유,록/메탈
20,21,"
어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
",AKMU (악뮤),발라드
21,22,"
오래된 노래
",스탠딩 에그,"인디음악, 포크/블루스"
22,23,"
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
",장범준,"록/메탈, 국내드라마"
23,24,"
그날에 나는 맘이 편했을까
",이예준,발라드
24,25,"
Life Goes On
",방탄소년단,랩/힙합
25,26,"
모든 날, 모든 순간 (Every day, Every Moment)
",폴킴,"발라드, 국내드라마"
26,27,"
LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)
","양요섭, 정은지",댄스
27,28,"
나랑 같이 걸을래 (바른연애 길잡이 X 적재)
",적재,"발라드, 인디음악"
28,29,"
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
",방탄소년단,댄스
29,30,"
ASAP
",STAYC(스테이씨),댄스
30,31,"
METEOR
",창모 (CHANGMO),랩/힙합
31,32,"
Timeless
",SG 워너비,발라드
32,33,"
사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)
",호미들,랩/힙합
33,34,"
아로하
",조정석,"발라드, 국내드라마"
34,35,"
Weekend
",태연 (TAEYEON),댄스
35,36,"
Dolphin
",오마이걸 (OH MY GIRL),댄스
36,37,"
봄날
",방탄소년단,랩/힙합
37,38,"
Permission to Dance
",방탄소년단,댄스
38,39,"
멜로디
",ASH ISLAND,랩/힙합
39,40,"
추억은 만남보다 이별에 남아
",정동하,발라드
40,41,"
OHAYO MY NIGHT
","디핵 (D-Hack), PATEKO (파테코)",랩/힙합
41,42,"
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
",마크툽 (MAKTUB),"R&B/Soul, 인디음악"
42,43,"
낙하 (with 아이유)
",AKMU (악뮤),록/메탈
43,44,"
이제 나만 믿어요
",임영웅,성인가요/트로트
44,45,"
사실 나는 (Feat.전건호)
",경서예지,발라드
45,46,"
다정히 내 이름을 부르면
","경서예지, 전건호",발라드
46,47,"
On The Ground
",로제 (ROSÉ),록/메탈
47,48,"
힘든 건 사랑이 아니다
",임창정,발라드
48,49,"
어떻게 지내 (Prod. By VAN.C)
",오반,"랩/힙합, 인디음악"
49,50,"
이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
",10CM,발라드
50,51,"
너의 번호를 누르고 (Prod. 영화처럼)
",#안녕,"발라드, 인디음악"
51,52,"
Coin
",아이유,R&B/Soul
52,53,"
늦은 밤 너의 집 앞 골목길에서
",노을,발라드
53,54,"
어푸 (Ah puh)
",아이유,댄스
54,55,"
How You Like That
",BLACKPINK,댄스
55,56,"
상상더하기
",라붐 (LABOUM),댄스
56,57,"
비와 당신
",이무진,"록/메탈, 국내드라마"
57,58,"
라라라
",SG 워너비,발라드
58,59,"
마음을 드려요
",아이유,"발라드, 국내드라마"
59,60,"
살짝 설렜어 (Nonstop)
",오마이걸 (OH MY GIRL),댄스
60,61,"
좋아좋아
",조정석,"발라드, 국내드라마"
61,62,"
내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
",규현 (KYUHYUN),발라드
62,63,"
치맛바람 (Chi Mat Ba Ram)
",브레이브걸스,댄스
63,64,"
안녕 (Hello)
",조이 (JOY),록/메탈
64,65,"
Alcohol-Free
",TWICE (트와이스),댄스
65,66,"
내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))
",릴보이 (lIlBOI),랩/힙합
66,67,"
Love poem
",아이유,록/메탈
67,68,"
너를 만나
",폴킴,발라드
68,69,"
내사람
",SG 워너비,R&B/Soul
69,70,"
When We Disco (Duet with 선미)
",박진영,댄스
70,71,"
상상더하기
","MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",댄스
71,72,"
시작
",가호 (Gaho),"록/메탈, 국내드라마"
72,73,"
우리 왜 헤어져야 해
",신예영,발라드
73,74,"
하루만 더
",빅마마,발라드
74,75,"
혼술하고 싶은 밤
",벤,발라드
75,76,"
나를 아는 사람
",MSG워너비(정상동기),발라드
76,77,"
안녕
",폴킴,"발라드, 국내드라마"
77,78,"
DUMB DUMB
",전소미,댄스
78,79,"
서면역에서
",순순희,"발라드, 인디음악"
79,80,"
거짓말이라도 해서 널 보고싶어
",백지영,발라드
80,81,"
고백 (바른연애 길잡이 X 허각)
",허각,발라드
81,82,"
우린 어쩌다 헤어진 걸까
",허각,발라드
82,83,"
Downtown Baby
",블루 (BLOO),"랩/힙합, 인디음악"
83,84,"
strawberry moon
",아이유,록/메탈
84,85,"
Savage
",aespa,댄스
85,86,"
마.피.아. In the morning
",ITZY (있지),랩/힙합
86,87,"
Queendom
",Red Velvet (레드벨벳),댄스
87,88,"
그냥 안아달란 말야
",다비치,발라드
88,89,"
아이와 나의 바다
",아이유,발라드
89,90,"
가을 우체국 앞에서
",김대명,"발라드, 국내드라마"
90,91,"
회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)
",sokodomo,랩/힙합
91,92,"
사랑은 지날수록 더욱 선명하게 남아
",전상근,발라드
92,93,"
이렇게 좋아해 본 적이 없어요
",CHEEZE (치즈),"발라드, 인디음악"
93,94,"
마리아 (Maria)
",화사 (Hwa Sa),댄스
94,95,"
딩가딩가 (Dingga)
",마마무 (Mamamoo),댄스
95,96,"
함께 했는데 이별은 나 혼자인 거야
",이소정,발라드
96,97,"
비가 오는 날엔 (2021)
",헤이즈 (Heize),"발라드, 국내드라마"
97,98,"
살다가
",SG 워너비,발라드
98,99,"
별빛 같은 나의 사랑아
",임영웅,성인가요/트로트
99,100,"
CREDIT (Feat. 염따, 기리보이, Zion.T)
",릴보이 (lIlBOI),랩/힙합
