,ranks,title,singer,genre
0,1,"
내사람 : Partner For Life
",SG 워너비,R&B/Soul
1,2,"
사랑안해
",백지영,발라드
2,3,"
여인의 향기
",씨야,발라드
3,4,"
남자를 몰라
",버즈,록/메탈
4,5,"
LOVE ALL
",gavy nj project group [H7美人(미인)],발라드
5,6,"
Hold The Line
","조pd (ZoPD), 브라운아이드걸스",랩/힙합
6,7,"
까만안경 (Feat. Day Light)
","이루, Daylight",발라드
7,8,"
그 남자 그 여자 (Feat. 장혜진)
",바이브,발라드
8,9,"
하기 힘든 말
",이승기,발라드
9,10,"
거리에서
",성시경,발라드
10,11,"
그녀를 사랑해줘요
",하동균,발라드
11,12,"
사랑했어요 (Feat. 데니안)
",SG 워너비,R&B/Soul
12,13,"
사랑하기 때문에 (Feat. SG워너비)
",씨야,발라드
13,14,"
사랑아 가지마
",임정희,R&B/Soul
14,15,"
마주치지 말자
",장혜진,발라드
15,16,"
아이스크림
",MC몽,랩/힙합
16,17,"
편지
",김종국,발라드
17,18,"
My Love (And)
",버즈,록/메탈
18,19,"
전부 너였다
",노을,발라드
19,20,"
비행기
",거북이,댄스
20,21,"
운다
",손호영(SHY),발라드
21,22,"
Timeless (Feat. 시아준수)
",장리인 (Zhang Li Yin),발라드
22,23,"
소리쳐
",이승철,발라드
23,24,"
My Darling (End)
",버즈,록/메탈
24,25,"
불꽃 (Feat. 개리)
",장혜진,발라드
25,26,"
미친 사랑의 노래
",씨야,"발라드, 국내드라마"
26,27,"
눈물샘
",별,발라드
27,28,"
바람만바람만
","김종국, SG 워너비",발라드
28,29,"
죽을만큼..
",오종혁,발라드
29,30,"
사랑을 찾아서
",엠씨더맥스 (M.C the MAX),발라드
30,31,"
제발
",이승기,발라드
31,32,"
My Style
",업타운,랩/힙합
32,33,"
누나의 꿈
",현영,댄스
33,34,"
다가와서
",브라운아이드걸스,R&B/Soul
34,35,"
연예인
",싸이 (PSY),댄스
35,36,"
폭풍
",SG 워너비,R&B/Soul
36,37,"
I Go
",럼블피쉬,록/메탈
37,38,"
은인
",버즈,록/메탈
38,39,"
웃는거야
",서영은,발라드
39,40,"
Happiness
",가비엔제이,R&B/Soul
40,41,"
The Day
","제아, 김연지",발라드
41,42,"
U
",SUPER JUNIOR (슈퍼주니어),댄스
42,43,"
눈사람
",가비엔제이,R&B/Soul
43,44,"
태양의 눈물 (Tear Of The Sun)
",KCM,발라드
44,45,"
Untouchable
",Big4,R&B/Soul
45,46,"
사랑 먼지
",버블 시스터즈,R&B/Soul
46,47,"
그녀가 울고있네요
",가비엔제이,R&B/Soul
47,48,"
느림보
",SG 워너비,R&B/Soul
48,49,"
그대 돌아오면..
",거미,R&B/Soul
49,50,"
면도
",V.One,발라드
50,51,"
사랑, 참...
",홍경민,발라드
51,52,"
구두
",씨야,발라드
52,53,"
들리나요
",정재욱,발라드
53,54,"
Grace
",이수영,발라드
54,55,"
유추프라카치아
",토니 안,발라드
55,56,"
원하고 원망하죠
",이승기,발라드
56,57,"
Bye Bye Bye
",먼데이 키즈 (Monday Kiz),발라드
57,58,"
남자답게
",플라이 투 더 스카이,R&B/Soul
58,59,"
사랑한다는 말
",김종국,발라드
59,60,"
라 라 라
",SE7EN,발라드
60,61,"
Perhaps Love (사랑인가요)
","하울, 제이","발라드, 국내드라마"
61,62,"
Must Have Love
","SG 워너비, 브라운아이드걸스",R&B/Soul
62,63,"
울지마
",버즈,록/메탈
63,64,"
날 위한 이별
",린,발라드
