,ranks,title,singer,genre
0,1,"
미인 (美人)
",이기찬,발라드
1,2,"
이럴거면
",아이비,발라드
2,3,"
유혹의 소나타
",아이비,댄스
3,4,"
미워요
",씨야,발라드
4,5,"
잔소리
",더 넛츠 (The NuTs),"발라드, 록/메탈"
5,6,"
Love Love Love (Feat. Yoong Jin Of Casker)
",에픽하이 (EPIK HIGH),랩/힙합
6,7,"
안녕
",KCM,발라드
7,8,"
흰눈
",이루,발라드
8,9,"
추억은 사랑을 닮아
",박효신,발라드
9,10,"
사랑...후에
","신혜성, 린",발라드
10,11,"
같은 베개...
",테이,발라드
11,12,"
수취인 불명
",프리스타일,랩/힙합
12,13,"
비밀번호 486
",윤하 (YOUNHA),록/메탈
13,14,"
Fan
",에픽하이 (EPIK HIGH),랩/힙합
14,15,"
거짓말
",BIGBANG (빅뱅),"댄스, 랩/힙합"
15,16,"
왼쪽가슴
",케이윌,발라드
16,17,"
남자야
",먼데이 키즈 (Monday Kiz),발라드
17,18,"
한여름날의 꿈 (Duet With 옥주현)
",SG 워너비,R&B/Soul
18,19,"
남자도... 어쩔 수 없다.
",EVAN 에반 (유호석),발라드
19,20,"
나 이젠 (Duet 진성 Of 먼데이키즈)
",최현준 (V.O.S),발라드
20,21,"
가슴아 그만해
",엠씨더맥스 (M.C the MAX),발라드
21,22,"
사랑앓이
",FTISLAND (FT아일랜드),록/메탈
22,23,"
사랑..그게 뭔데
",양파,발라드
23,24,"
사랑의 인사
",씨야,발라드
24,25,"
Irony (아이러니)
",원더걸스,댄스
25,26,"
Tell me (Sampling From 'Two Of Hearts')
",원더걸스,댄스
26,27,"
톡!톡!톡! (Toc Toc Toc)(CF - 투싼 '이효리'편)
",이효리,댄스
27,28,"
비행소녀
",마골피,발라드
28,29,"
So Fresh (Feat. 김태우) (위대한 캣츠비 OST 삽입곡)
",MC몽,랩/힙합
29,30,"
내 사람입니다
",더 넛츠 (The NuTs),"발라드, 록/메탈"
30,31,"
눈물로 (Duet 이정)
",제이,발라드
31,32,"
Ballerino
",리쌍,랩/힙합
32,33,"
가시리
","SG 워너비, KCM",발라드
33,34,"
아리랑
",SG 워너비,R&B/Soul
34,35,"
볼때기 사랑
",엠씨더맥스 (M.C the MAX),록/메탈
35,36,"
이별살이
",린,발라드
36,37,"
Evergreen (Feat. 이지혜)
",PK 헤만,"발라드, 랩/힙합"
37,38,"
사랑이 그래요
",오종혁,발라드
38,39,"
봄이여 오라 (Feat. 유리)
",MC 스나이퍼,랩/힙합
39,40,"
Dirty Cash
",BIGBANG (빅뱅),"댄스, 랩/힙합"
40,41,"
물끄러미
",지아,발라드
41,42,"
Maria
",김아중,"록/메탈, 국내영화"
42,43,"
착한거짓말
",이승기,발라드
43,44,"
새 살
",먼데이 키즈 (Monday Kiz),발라드
44,45,"
하늘위로 (Remix)
",렉시,랩/힙합
45,46,"
기다릴게...
",타이푼,발라드
46,47,"
My Love
",채연,댄스
47,48,"
사랑은 맛있다♡
",휘성 (Realslow),R&B/Soul
48,49,"
배반
",빅마마,발라드
49,50,"
&Design (CF - KTF 도시락 '문근영'편)
",문근영,댄스
50,51,"
바람만바람만
","김종국, SG 워너비",발라드
51,52,"
잊었니...
",윤미래,R&B/Soul
52,53,"
통증
",거미,"발라드, 국내드라마"
53,54,"
매일매일
",V.O.S,R&B/Soul
54,55,"
가지마
",브라이언,R&B/Soul
55,56,"
천둥
",FTISLAND (FT아일랜드),록/메탈
56,57,"
사랑의 숲에서 길을 잃다 (Feat. 임창정)
",제드,발라드
57,58,"
하루
",포지션,발라드
58,59,"
하루살이
",BMK,발라드
59,60,"
사랑 하나면 돼
",백지영,발라드
60,61,"
I Promise You
","원티드, 이정",R&B/Soul
61,62,"
미워도 좋아
",별,발라드
62,63,"
별 (Original Dialog Ver.)
",김아중,"발라드, 국내영화"
63,64,"
둘이라서
",이루,발라드
64,65,"
그녀를 사랑하지마
",이효리,발라드
65,66,"
안 행복해
",장나라,발라드
66,67,"
완소그대
",서영은,발라드
67,68,"
오아시스 (Feat. 이재훈)
",브라운아이드걸스,댄스
68,69,"
키 작은 꼬마 이야기
",하하,댄스
69,70,"
못된 남자
",엠투엠 (M To M),발라드
70,71,"
19금
너를 원해
",서인영,댄스
71,72,"
사랑이 올까봐 (Feat. 화요비)
",KCM,발라드
72,73,"
다시 만난 세계 (Into The New World)
",소녀시대 (GIRLS' GENERATION),댄스
73,74,"
사랑은 가슴이 시킨다 Part.2
",버즈,발라드
74,75,"
사랑가
",SG 워너비,R&B/Soul
75,76,"
사랑에 미치면 (Feat. 아웃캐스트 빅보이 & J.Y.Park 'The Asiansoul')
",임정희,R&B/Soul
76,77,"
사랑을 잃고 난 노래하네
",에이트,발라드
