,ranks,title,singer,genre
0,1,"
Break Away
",빅마마,R&B/Soul
1,2,"
점점
",브라운 아이즈,R&B/Soul
2,3,"
With Me
",휘성 (Realslow),R&B/Soul
3,4,"
정말 사랑했을까
",브라운 아이드 소울,"발라드, R&B/Soul"
4,5,"
아틀란티스 소녀 (Atlantis Princess)
",보아 (BoA),댄스
5,6,"
결혼을 할 거라면
",쿨 (COOL),댄스
6,7,"
10 Minutes
",이효리,댄스
7,8,"
잊을께
",YB,록/메탈
8,9,"
어쩌다..
",윤건,"발라드, R&B/Soul"
9,10,"
보고 싶다
",김범수,발라드
10,11,"
Missing You
",플라이 투 더 스카이,R&B/Soul
11,12,"
사랑합니다...
",팀,발라드
12,13,"
안녕
",박혜경,록/메탈
13,14,"
그랬나봐
",김형중,발라드
14,15,"
고백
",델리스파이스,"인디음악, 록/메탈"
15,16,"
그땐 미처 알지 못했지 (Feat. 하림 On Harmonica)
",이적,록/메탈
16,17,"
Never Ending Story
",부활,록/메탈
17,18,"
체념
",빅마마,"발라드, R&B/Soul"
18,19,"
친구 붕우 (朋友)
",안재욱,발라드
19,20,"
백설공주를 사랑한 일곱번째 난장이
",쿨 (COOL),발라드
20,21,"
To My Love (Korean Ver.)
",윤미래,R&B/Soul
21,22,"
와줘..
",SE7EN,발라드
22,23,"
남자기 때문에
",드렁큰 타이거,랩/힙합
23,24,"
처음 그 날처럼
",박용하,"발라드, 국내드라마"
24,25,"
Stay
",넬 (NELL),록/메탈
25,26,"
Mr. A-Jo
",애즈원,R&B/Soul
26,27,"
악으로
",김진표,랩/힙합
27,28,"
비상
",코요태,댄스
28,29,"
The Secret Garden
",이상은 (=Lee-tzsche),발라드
29,30,"
Fly High (Feat. 정인, 하림(河琳))
",리쌍,랩/힙합
30,31,"
아직 못다한 이야기 (Feat. BMK)
",김진표,랩/힙합
31,32,"
Without Your Love
",JTL,댄스
32,33,"
돌아와 제발
",JK 김동욱,발라드
33,34,"
나의 사랑 나의 신부
",유엔,댄스
34,35,"
한번 단 한번
",SE7EN,발라드
35,36,"
나 어떡해
",베이비복스,댄스
36,37,"
애송이 (CF - 써니텐)
",렉시,랩/힙합
37,38,"
진달래꽃
",마야,록/메탈
38,39,"
청첩장
",김건모,발라드
39,40,"
좋은날
",유리상자,발라드
40,41,"
만취 In Melody
",은지원,랩/힙합
41,42,"
태양을 피하는 방법 (Gtr.Remix)
",비,댄스
42,43,"
인연
",노을,발라드
43,44,"
앤
",박정현,"발라드, R&B/Soul"
44,45,"
거부
",빅마마,R&B/Soul
45,46,"
피아노(彼願嫪)
",조성모,발라드
46,47,"
니가 참 좋아
",쥬얼리,댄스
47,48,"
첫사랑
",이소라,발라드
48,49,"
낙원 (Feat. 이재훈)
",싸이 (PSY),발라드
49,50,"
차마...
",성시경,발라드
50,51,"
편지
",god,발라드
51,52,"
오늘부터...
",리치,발라드
52,53,"
Loveholic
",러브홀릭,록/메탈
53,54,"
덩그러니
",이수영,발라드
54,55,"
바보같은 내게
",김범수,발라드
55,56,"
꽃
",이승환,발라드
56,57,"
너의 결혼식
",신화,댄스
57,58,"
Goodbye
",이수영,발라드
58,59,"
끝이라면
",김현정,댄스
59,60,"
미소
",백지영,댄스
60,61,"
오리 날다 (영화 '권순분여사 납치사건' CF 테마송)
",체리 필터,"인디음악, 록/메탈"
61,62,"
하늘을 달리다
",이적,록/메탈
62,63,"
소주 한 잔
",임창정,발라드
63,64,"
난 너에게 (To You)
",샤크라,댄스
64,65,"
목포의 눈물
",한영애,포크/블루스
65,66,"
Try To Remember
",성시경,발라드
66,67,"
Hit Song
",엔알지 (NRG),댄스
67,68,"
동네 한 바퀴
",CB Mass,랩/힙합
68,69,"
제비
",김건모,댄스
69,70,"
놀러와
",러브홀릭,록/메탈
70,71,"
Cowboy
",클릭비 (Click-B),댄스
71,72,"
I Swear
","S (강타, 신혜성, 이지훈)",발라드
72,73,"
그대 돌아오면..
",거미,R&B/Soul
73,74,"
Stay
",이현우,록/메탈
74,75,"
고백하는 날
",이기찬,댄스
75,76,"
Chiki Chiki-Love Song
",여행스케치,포크/블루스
76,77,"
잠시만 안녕 (Pop Ver.)
",엠씨더맥스 (M.C the MAX),발라드
77,78,"
난(亂)
",옥주현,발라드
78,79,"
Music
",바다 (BADA),댄스
79,80,"
빚
",이수영,발라드
80,81,"
오렌지
",서태지,록/메탈
81,82,"
아껴둔 이야기 (Radio Edit Ver.) (Feat. The Edition)
",강성훈,발라드
82,83,"
Desperado
",포지션,발라드
83,84,"
다시 만난 날
",휘성 (Realslow),R&B/Soul
84,85,"
개미와 베짱이
",유리상자,발라드
85,86,"
사랑 Two
",윤도현,록/메탈
86,87,"
어떤 사람 A
",윤상,발라드
87,88,"
Again To Me
",차태현,발라드
88,89,"
길 (Feat. 불독맨션)
",데프콘,랩/힙합
89,90,"
여전히 입술을 깨물죠
",이수영,발라드
90,91,"
유리 (唯俚 - 비록 슬퍼진다 하더라도)
",김정훈,발라드
91,92,"
The Best
",유진,발라드
92,93,"
내게로 와
",체리 필터,"인디음악, 록/메탈"
93,94,"
관계
",왁스,발라드
94,95,"
기억이... 눈물이... (Vocal : 조대연)
",정지찬,발라드
95,96,"
아버지
",김경호,록/메탈
96,97,"
Street Life (Feat. Big Mama & Ill Skillz)
",DJ DOC,랩/힙합
97,98,"
악몽
",버블 시스터즈,댄스
98,99,"
잊었니
",현승민-H,R&B/Soul
99,100,"
Shine
",슈가,댄스
