,ranks,title,singer,genre
0,1,"
아무노래
",지코 (ZICO),랩/힙합
1,2,"
METEOR
",창모 (CHANGMO),랩/힙합
2,3,"
아로하
",조정석,"발라드, 국내드라마"
3,4,"
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
",장범준,"록/메탈, 국내드라마"
4,5,"
에잇(Prod.&Feat. SUGA of BTS)
",아이유,록/메탈
5,6,"
Blueming
",아이유,록/메탈
6,7,"
늦은 밤 너의 집 앞 골목길에서
",노을,발라드
7,8,"
시작
",가호 (Gaho),"록/메탈, 국내드라마"
8,9,"
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
",방탄소년단,댄스
9,10,"
Psycho
",Red Velvet (레드벨벳),댄스
10,11,"
어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
",AKMU (악뮤),발라드
11,12,"
Dynamite
",방탄소년단,댄스
12,13,"
마음을 드려요
",아이유,"발라드, 국내드라마"
13,14,"
처음처럼
",엠씨더맥스 (M.C the MAX),발라드
14,15,"
How You Like That
",BLACKPINK,댄스
15,16,"
살짝 설렜어 (Nonstop)
",오마이걸 (OH MY GIRL),댄스
16,17,"
ON
",방탄소년단,랩/힙합
17,18,"
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
",마크툽 (MAKTUB),"R&B/Soul, 인디음악"
18,19,"
Downtown Baby
",블루 (BLOO),"랩/힙합, 인디음악"
19,20,"
마리아 (Maria)
",화사 (Hwa Sa),댄스
20,21,"
어떻게 지내 (Prod. By VAN.C)
",오반,"랩/힙합, 인디음악"
21,22,"
모든 날, 모든 순간 (Every day, Every Moment)
",폴킴,"발라드, 국내드라마"
22,23,"
다시 여기 바닷가
","싹쓰리 (유두래곤, 린다G, 비룡)",댄스
23,24,"
Dolphin
",오마이걸 (OH MY GIRL),댄스
24,25,"
사랑하게 될 줄 알았어
",전미도,"발라드, 국내드라마"
25,26,"
안녕
",폴킴,"발라드, 국내드라마"
26,27,"
그때 그 아인
",김필,"발라드, 국내드라마"
27,28,"
취기를 빌려 (취향저격 그녀 X 산들)
",산들,발라드
28,29,"
Love poem
",아이유,록/메탈
29,30,"
HIP
",마마무 (Mamamoo),댄스
