,ranks,title,singer,genre
30,31,"
우리 왜 헤어져야 해
",신예영,발라드
31,32,"
좋은 사람 있으면 소개시켜줘
",조이 (JOY),"발라드, 국내드라마"
32,33,"
너를 사랑하고 있어
",백현 (BAEKHYUN),"발라드, 국내드라마"
33,34,"
봄날
",방탄소년단,랩/힙합
34,35,"
Black Swan
",방탄소년단,랩/힙합
35,36,"
Summer Hate (Feat. 비)
",지코 (ZICO),랩/힙합
36,37,"
나비와 고양이 (feat.백현 (BAEKHYUN))
",볼빨간사춘기,"인디음악, 포크/블루스"
37,38,"
다시 난, 여기
",백예린 (Yerin Baek),"발라드, 국내드라마"
38,39,"
눈누난나 (NUNU NANA)
",제시 (Jessi),랩/힙합
39,40,"
돌덩이
",하현우 (국카스텐),"록/메탈, 국내드라마"
40,41,"
오래된 노래
",스탠딩 에그,"인디음악, 포크/블루스"
41,42,"
사랑이란 멜로는 없어
",전상근,발라드
42,43,"
반만
",진민호,발라드
43,44,"
시든 꽃에 물을 주듯
",HYNN (박혜원),발라드
44,45,"
너를 만나
",폴킴,발라드
45,46,"
Square (2017)
",백예린 (Yerin Baek),R&B/Soul
46,47,"
FIESTA
",IZ*ONE (아이즈원),댄스
47,48,"
덤더럼 (Dumhdurum)
",Apink (에이핑크),댄스
48,49,"
아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)
","염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",랩/힙합
49,50,"
조금 취했어 (Prod. 2soo)
",임재현,"발라드, 인디음악"
50,51,"
00:00 (Zero O’Clock)
",방탄소년단,랩/힙합
51,52,"
When We Disco (Duet with 선미)
",박진영,댄스
52,53,"
이제 나만 믿어요
",임영웅,성인가요/트로트
53,54,"
보라빛 밤 (pporappippam)
",선미,댄스
54,55,"
WANNABE
",ITZY (있지),댄스
55,56,"
홀로
",이하이,R&B/Soul
56,57,"
화려하지 않은 고백
",규현 (KYUHYUN),"발라드, 국내드라마"
57,58,"
MORE & MORE
",TWICE (트와이스),댄스
58,59,"
Lovesick Girls
",BLACKPINK,댄스
59,60,"
Into the I-LAND
",아이유,댄스
60,61,"
포장마차
",황인욱,발라드
61,62,"
친구
",방탄소년단,랩/힙합
62,63,"
사랑은 지날수록 더욱 선명하게 남아
",전상근,발라드
63,64,"
내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
",규현 (KYUHYUN),발라드
64,65,"
빌었어
",창모 (CHANGMO),랩/힙합
65,66,"
다시 만날까 봐
",V.O.S,발라드
66,67,"
다시는 사랑하지 않고, 이별에 아파하기 싫어
",백지영,발라드
67,68,"
사랑에 연습이 있었다면 (Prod. 2soo)
",임재현,발라드
68,69,"
Filter
",방탄소년단,랩/힙합
69,70,"
사랑이 식었다고 말해도 돼
",먼데이 키즈 (Monday Kiz),발라드
70,71,"
DON'T TOUCH ME
",환불원정대,댄스
71,72,"
나의 오랜 연인에게
",다비치,발라드
72,73,"
마음이 말하는 행복 (Happiness) (Feat.이라온)
",마크툽 (MAKTUB),"R&B/Soul, 인디음악"
73,74,"
그 여름을 틀어줘
","싹쓰리 (유두래곤, 린다G, 비룡)",댄스
74,75,"
여름 안에서 by 싹쓰리 (Feat. 황광희)
","싹쓰리 (유두래곤, 린다G, 비룡)",댄스
75,76,"
주저하는 연인들을 위해
",잔나비,"인디음악, 록/메탈"
76,77,"
Moon
",방탄소년단,랩/힙합
77,78,"
니 소식
",송하예,발라드
78,79,"
그대 고운 내사랑
",어반자카파,"발라드, 국내드라마"
79,80,"
거짓말이라도 해서 널 보고싶어
",백지영,발라드
80,81,"
힘든 건 사랑이 아니다
",임창정,발라드
81,82,"
시차
",방탄소년단,랩/힙합
82,83,"
있어줘요
",장덕철,"발라드, 인디음악"
83,84,"
기억해줘요 내 모든 날과 그때를
",거미,"발라드, 국내드라마"
84,85,"
어느 60대 노부부이야기
",임영웅,성인가요/트로트
85,86,"
헤어진 우리가 지켜야 할 것들
","김나영, 양다일",발라드
86,87,"
둘만의 세상으로 가
",Crush,"발라드, 국내드라마"
87,88,"
취했나봐
",황인욱,발라드
88,89,"
새 사랑
",송하예,발라드
89,90,"
덤디덤디 (DUMDi DUMDi)
",(여자)아이들,댄스
90,91,"
We are Bulletproof : the Eternal
",방탄소년단,랩/힙합
91,92,"
19금
BAND
","창모 (CHANGMO), Hash Swan, ASH ISLAND, 김효은",랩/힙합
92,93,"
깡 Official Remix
","식케이 (Sik-K), pH-1, 박재범, 김하온 (HAON)",랩/힙합
93,94,"
그대라는 시
",태연 (TAEYEON),"발라드, 국내드라마"
94,95,"
Inner Child
",방탄소년단,랩/힙합
95,96,"
사계 (Four Seasons)
",태연 (TAEYEON),발라드
96,97,"
찐이야
",영탁,성인가요/트로트
97,98,"
비
",폴킴,R&B/Soul
98,99,"
너에게 난, 나에게 넌
",미도와 파라솔,"발라드, 국내드라마"
99,100,"
어떤 날엔
",김재환,"발라드, 국내드라마"
