,ranks,title,singer,genre
0,1,"
친구여 (Feat. 인순이)
",조pd (ZoPD),랩/힙합
1,2,"
긴 하루
",이승철,발라드
2,3,"
사랑은...향기를 남기고
",테이,발라드
3,4,"
그곳에 서서
",박효신,발라드
4,5,"
Sweety
",클래지콰이,일렉트로니카
5,6,"
야상곡(夜想曲)
",김윤아,"발라드, 록/메탈"
6,7,"
휠릴리
",이수영,발라드
7,8,"
열정
",SE7EN,R&B/Soul
8,9,"
광화문 연가
",이수영,발라드
9,10,"
불치병 (Feat. Masta Wu)
",휘성 (Realslow),R&B/Soul
10,11,"
My Name
",보아 (BoA),댄스
11,12,"
그녀가 웃잖아....
",김형중,발라드
12,13,"
고래의 꿈 (Falling In Love Again) (Feat. 김영근)
",바비 킴,랩/힙합
13,14,"
시간을 찾아서 (Feat. 이적)
",김진표,랩/힙합
14,15,"
이제서야
",김동률,발라드
15,16,"
사랑의 時(시)
",엠씨더맥스 (M.C the MAX),발라드
16,17,"
오래오래
",바이브,R&B/Soul
17,18,"
It's Raining
",비,댄스
18,19,"
Liquor Shots (술병에 숟가락)
",드렁큰 타이거,랩/힙합
19,20,"
The Way U Are
",동방신기 (TVXQ!),댄스
20,21,"
가슴에 지는 태양
",김범수,발라드
21,22,"
고마웠다고...
",팀,발라드
22,23,"
발작 (發作)
",원티드,R&B/Soul
23,24,"
내가 당신을 사랑하는 이유
",왁스,발라드
24,25,"
평화의 날
",에픽하이 (EPIK HIGH),랩/힙합
25,26,"
...사랑했잖아...
",린,"발라드, R&B/Soul"
26,27,"
사랑하길 정말 잘했어요
",SG 워너비,발라드
27,28,"
너를 원해
",현승민-H,R&B/Soul
28,29,"
Hug
",동방신기 (TVXQ!),발라드
29,30,"
기억상실
",거미,R&B/Soul
30,31,"
천사
",서영은,발라드
31,32,"
여기보다 어딘가에
",하림,발라드
32,33,"
너의 곁으로
",조성모,"발라드, 국내드라마"
33,34,"
인연
",이승철,-
34,35,"
그대는 눈물겹다
",엠씨더맥스 (M.C the MAX),발라드
35,36,"
연인
",김연우,발라드
36,37,"
Ring My Bell (Feat. 나얼 Of Brown Eyed Soul)
",다이나믹 듀오,랩/힙합
37,38,"
그런가 봐요...
",V.One,발라드
38,39,"
Monologue
",버즈,록/메탈
39,40,"
그런 날이 오겠죠
",신승훈,발라드
40,41,"
예감 좋은 날
",럼블피쉬,록/메탈
41,42,"
내 여자라니까
",이승기,발라드
42,43,"
내가 눈을 감는 이유
",태빈,R&B/Soul
43,44,"
한 남자
",김종국,발라드
44,45,"
로보트
",서태지,록/메탈
45,46,"
Sky
",러브홀릭,록/메탈
46,47,"
정상을 향한 독주 2 (Feat. 김범수)
",주석,랩/힙합
47,48,"
제주도의 푸른 밤
",성시경,발라드
48,49,"
그게 정말이니?
",장나라,발라드
49,50,"
꿈에
",이수영,발라드
50,51,"
닮은 사람
",테이,발라드
51,52,"
Young Gunz
",신화,R&B/Soul
52,53,"
해바라기 (그녀에게..)
",박상민,록/메탈
53,54,"
나를 봐
",이정(J.Lee),R&B/Soul
54,55,"
문신
",SE7EN,R&B/Soul
55,56,"
대한건아 만세
",엔알지 (NRG),댄스
56,57,"
사랑은 (Song 정인)
",리쌍,발라드
57,58,"
걸음이 느린 아이
",고유진 (플라워),발라드
58,59,"
황혼의 문턱
",왁스,록/메탈
59,60,"
심장병
",이승환,발라드
60,61,"
My Little Princess (있잖아요...)
",동방신기 (TVXQ!),발라드
61,62,"
Feeling
",김종국,댄스
62,63,"
하하하쏭
",자우림,록/메탈
63,64,"
Brand New
",신화,댄스
64,65,"
I'm Sorry
",파이브 (F-IV),발라드
65,66,"
무지개
",롤러 코스터,록/메탈
66,67,"
잔소리
",김건모,발라드
67,68,"
갈색머리
",윤건,"발라드, R&B/Soul"
68,69,"
순간을 믿어요
",언니네 이발관,록/메탈
69,70,"
Growing Up
",신해철,록/메탈
70,71,"
멈추지 말아요
",이현우,록/메탈
71,72,"
믿어요
",동방신기 (TVXQ!),발라드
72,73,"
죽을 만큼 사랑했어요
",SG 워너비,발라드
73,74,"
다 괜찮아요
",리사,R&B/Soul
74,75,"
당신과의 키스를 세어보아요
",박화요비,"발라드, R&B/Soul"
75,76,"
너에게로 또다시
",서영은,발라드
76,77,"
물고기자리
",이안,발라드
77,78,"
흑백사진
",KCM,발라드
78,79,"
Think About' Chu
",아소토 유니온,R&B/Soul
79,80,"
Angel
",신화,발라드
80,81,"
왜이래
",거북이,"댄스, 랩/힙합"
81,82,"
Ave Maria In A Minor (드라마 '천국의 계단' 테마곡)
",Charlotte Church,POP
82,83,"
불꽃
",코요태,댄스
83,84,"
Let Me Dance
",렉시,랩/힙합
84,85,"
사람찾기
",유리상자,발라드
85,86,"
Honeymoon
",유엔,댄스
86,87,"
Windy
",유진,댄스
87,88,"
디스코왕
",코요태,댄스
88,89,"
사랑은 가질 수 없을 때 더 아름답다
",토니 안,발라드
89,90,"
아가씨와 건달들
",쿨 (COOL),댄스
90,91,"
슬프지만 진실
",제이,R&B/Soul
91,92,"
Cry
",원타임,랩/힙합
92,93,"
180˚ (Feat. 인태 & Supasize)
",MC몽,랩/힙합
93,94,"
Eternity
",엄정화,댄스
94,95,"
I'm Missing You
",휘성 (Realslow),R&B/Soul
95,96,"
그래도 남자니까 (Feat. 이상인)
",MC몽,랩/힙합
96,97,"
El Disco Amor
",불독 맨션,"인디음악, 록/메탈"
97,98,"
Together
",코요태,댄스
98,99,"
정말 사랑했을까
",브라운 아이드 소울,"발라드, R&B/Soul"
99,100,"
보이지 않는 인사
",강성훈,발라드
