,ranks,title,singer,genre
0,1,CHEER UP,TWICE (트와이스),댄스
1,2,시간을 달려서 (Rough),여자친구 (GFRIEND),댄스
2,3,어디에도,엠씨더맥스 (M.C the MAX),발라드
3,4,널 사랑하지 않아,어반자카파,발라드
4,5,이 사랑,다비치,"발라드, 국내드라마"
5,6,이 소설의 끝을 다시 써보려 해,한동근,발라드
6,7,너는 나 나는 너,지코 (ZICO),R&B/Soul
7,8,You Are My Everything,거미,"발라드, 국내드라마"
8,9,OOH-AHH하게,TWICE (트와이스),댄스
9,10,걱정말아요 그대,이적,"발라드, 국내드라마"
10,11,또 다시 사랑,임창정,발라드
11,12,잊어버리지마 (Feat. 태연),Crush,R&B/Soul
12,13,내가 저지른 사랑,임창정,발라드
13,14,D (half moon) (Feat. 개코),DEAN,R&B/Soul
14,15,넌 is 뭔들,마마무 (Mamamoo),댄스
15,16,하늘바라기 (Feat. 하림),정은지,발라드
16,17,우주를 줄게,볼빨간사춘기,"인디음악, 포크/블루스"
17,18,Boys And Girls (Feat. Babylon),지코 (ZICO),랩/힙합
18,19,ALWAYS,윤미래,"발라드, 국내드라마"
19,20,오늘부터 우리는 (Me Gustas Tu),여자친구 (GFRIEND),댄스
20,21,Day Day (Feat. 박재범) (Prod. by GRAY),BewhY (비와이),랩/힙합
21,22,Why So Lonely,원더걸스,댄스
22,23,돌아오지마 (Feat. 용준형 Of 비스트),헤이즈 (Heize),랩/힙합
23,24,Dream (Prod. by 박근태),"수지, 백현 (BAEKHYUN)",R&B/Soul
24,25,봄이 좋냐??,10CM,"인디음악, 포크/블루스"
25,26,말해! 뭐해?,케이윌,"발라드, 국내드라마"
26,27,Everytime,"첸 (CHEN), 펀치 (Punch)","발라드, 국내드라마"
27,28,Rain,태연 (TAEYEON),발라드
28,29,Forever (Prod. By GRAY),BewhY (비와이),랩/힙합
29,30,너 그리고 나 (NAVILLERA),여자친구 (GFRIEND),댄스
30,31,한숨,이하이,R&B/Soul
31,32,휘파람,BLACKPINK,랩/힙합
32,33,소녀,오혁,"발라드, 국내드라마"
33,34,그대라는 사치,한동근,발라드
34,35,TT,TWICE (트와이스),댄스
35,36,유레카 (Feat. Zion.T),지코 (ZICO),랩/힙합
36,37,또 하루 (Feat. 개코),개리,랩/힙합
37,38,목요일 밤 (Feat. 빈지노),어반자카파,R&B/Soul
38,39,쏘쏘,백아연,R&B/Soul
39,40,다시 너를,"매드클라운, 김나영","발라드, 랩/힙합, 국내드라마"
40,41,너였다면,정승환,"발라드, 국내드라마"
41,42,꿈처럼,벤,"발라드, 국내드라마"
42,43,러시안 룰렛 (Russian Roulette),Red Velvet (레드벨벳),댄스
43,44,안아줘,정준일,"인디음악, 록/메탈"
44,45,puzzle,"C JAMM, BewhY (비와이)",랩/힙합
45,46,I Like That,씨스타,댄스
46,47,숨,박효신,발라드
47,48,The Time Goes On,BewhY (비와이),랩/힙합
48,49,스토커,10CM,"인디음악, 포크/블루스"
49,50,니가 알던 내가 아냐 (Prod. By GRAY),"사이먼 도미닉, ONE, 지투 (G2), BewhY (비와이)",랩/힙합
50,51,니가 하면 로맨스 (Feat. 다비치),케이윌,R&B/Soul
51,52,If You,에일리(Ailee),발라드
52,53,내 입술 따뜻한 커피처럼 (Feat. 이성경) (Prod. by 박근태),에디킴,발라드
53,54,Toy,블락비 (Block B),R&B/Soul
54,55,Monster,EXO,댄스
55,56,어땠을까,김나영,발라드
56,57,사랑하자,SG 워너비,"발라드, 국내드라마"
57,58,사랑에 빠졌죠 (당신만이),장범준,록/메탈
58,59,자격지심 (Feat. 은하 Of 여자친구),박경,랩/힙합
59,60,"호랑나비 (Feat. Gill, 리듬파워, 김흥국)",보이비,랩/힙합
60,61,PICK ME,PRODUCE 101,댄스
61,62,너무너무너무,아이오아이 (I.O.I),댄스
62,63,구르미 그린 달빛,거미,"발라드, 국내드라마"
63,64,불타오르네 (FIRE),방탄소년단,댄스
64,65,공감 (Feat. 서영은),정준영,발라드
65,66,나만 안되는 연애,볼빨간사춘기,"인디음악, 포크/블루스"
66,67,RE-BYE,AKMU (악뮤),포크/블루스
67,68,Ah-Choo,러블리즈,댄스
68,69,맘 편히 (Comfortable),"사이먼 도미닉, GRAY (그레이), ONE",랩/힙합
69,70,네 생각,존박,발라드
70,71,청춘 (Feat. 김창완),김필,"포크/블루스, 국내드라마"
71,72,우주를 건너,백예린 (Yerin Baek),R&B/Soul
72,73,친구라도 될 걸 그랬어,거미,R&B/Soul
73,74,여름밤에 우린,스탠딩 에그,"인디음악, 포크/블루스"
74,75,Shut Up (Feat. 유희열),언니쓰,댄스
75,76,봄인가 봐 (Spring Love),"에릭남 (Eric Nam), 웬디 (WENDY)",발라드
76,77,같은 곳에서,소녀온탑,댄스
77,78,I Miss You,마마무 (Mamamoo),R&B/Soul
78,79,함께,노을,"발라드, 국내드라마"
79,80,Bye bye my blue,백예린 (Yerin Baek),R&B/Soul
80,81,I (Feat. 버벌진트),태연 (TAEYEON),록/메탈
81,82,사랑이었다 (Feat. 루나 of f(x)),지코 (ZICO),발라드
