,ranks,title,singer,genre
0,1,"
강남스타일
",싸이 (PSY),랩/힙합
1,2,"
나혼자 (Alone)
",씨스타,댄스
2,3,"
벚꽃 엔딩
",버스커 버스커,록/메탈
3,4,"
Loving U (러빙유)
",씨스타,댄스
4,5,"
FANTASTIC BABY
",BIGBANG (빅뱅),댄스
5,6,"
I Love You
",2NE1,댄스
6,7,"
정말로 사랑한다면
",버스커 버스커,록/메탈
7,8,"
Heaven
",에일리(Ailee),발라드
8,9,"
하루 끝
",아이유,댄스
9,10,"
첫사랑
",버스커 버스커,록/메탈
10,11,"
Lovey-Dovey
",티아라,댄스
11,12,"
Twinkle
",소녀시대-태티서 (Girls' Generation-TTS),댄스
12,13,"
바람기억
",나얼,R&B/Soul
13,14,"
나를 사랑했던 사람아
",허각,발라드
14,15,"
여수 밤바다
",버스커 버스커,록/메탈
15,16,"
MONSTER
",BIGBANG (빅뱅),댄스
16,17,"
I Need You
","허각, 지아",발라드
17,18,"
BLUE
",BIGBANG (빅뱅),댄스
18,19,"
목소리 (Feat. 개리 Of 리쌍)
",백지영,발라드
19,20,"
Like this
",원더걸스,댄스
20,21,"
이러지마 제발 (Please Don't...)
",케이윌,발라드
21,22,"
너랑 나
",아이유,댄스
22,23,"
1,2,3,4 (원,투,쓰리,포)
",이하이,R&B/Soul
23,24,"
보여줄게
",에일리(Ailee),댄스
24,25,"
충분히 예뻐 (feat. 산체스 Of 팬텀)
",버벌진트,랩/힙합
25,26,"
먼지가 되어
","로이킴, 정준영",록/메탈
26,27,"
DAY BY DAY
",티아라,댄스
27,28,"
애상
",10CM,포크/블루스
28,29,"
어땠을까 (Feat. 박정현)
",싸이 (PSY),랩/힙합
29,30,"
Electric Shock
",f(x),댄스
30,31,"
뜨거운 안녕 (Feat. 성시경)
",싸이 (PSY),랩/힙합
31,32,"
illa illa (일라 일라)
",JUNIEL,발라드
32,33,"
크레용 (Crayon)
",G-DRAGON,랩/힙합
33,34,"
그댈 마주하는건 힘들어 (그마힘)
",버스커 버스커,록/메탈
34,35,"
피어나
",가인,댄스
35,36,"
Trouble Maker
",트러블메이커,댄스
36,37,"
립스틱 (LIPSTICK)
",오렌지 캬라멜,댄스
37,38,"
Officially Missing You, Too
","긱스 (Geeks), 소유 (SOYOU)",발라드
38,39,"
꽃송이가
",버스커 버스커,록/메탈
39,40,"
Only One
",보아 (BoA),발라드
40,41,"
거기서거기 (Without You)
",다이나믹 듀오,랩/힙합
41,42,"
아름다운 밤
",울랄라세션,댄스
42,43,"
Missing You (Feat. 김윤아 Of 자우림)
",G-DRAGON,랩/힙합
43,44,"
굿모닝 (Feat. 권정열 Of 10cm)
",버벌진트,랩/힙합
44,45,"
춥다 (Feat. 이하이)
",에픽하이 (EPIK HIGH),랩/힙합
45,46,"
Touch
",미쓰에이,댄스
46,47,"
너도 나처럼
",2am,발라드
47,48,"
Volume Up
",4minute,댄스
48,49,"
이상형
",버스커 버스커,록/메탈
49,50,"
19금
그XX
",G-DRAGON,발라드
50,51,"
아름다운 밤이야
",비스트,댄스
51,52,"
2HOT
",지나,댄스
52,53,"
생각날거야
",다비치,발라드
53,54,"
남자 없이 잘 살아
",미쓰에이,댄스
54,55,"
Midnight (별 헤는 밤)
",비스트,댄스
55,56,"
그리워 그리워
",노을,발라드
56,57,"
BAD BOY
",BIGBANG (빅뱅),발라드
57,58,"
되돌리다
",이승기,발라드
58,59,"
SEXY LOVE
",티아라,댄스
59,60,"
귀여워 (With 권정열 Of 10cm)
",별,발라드
60,61,"
She's Gone
",디셈버,발라드
61,62,"
? (물음표) (Feat. 최자 Of 다이나믹듀오, Zion.T)
",프라이머리,랩/힙합
62,63,"
하지 못한 말
",노을,발라드
63,64,"
LOVE DAY
","양요섭, 정은지",댄스
64,65,"
남자도 우나요
",다비치,발라드
65,66,"
너뿐이야 (You're The One)
",박진영,R&B/Soul
66,67,"
외로움증폭장치 (브래드 드럼 한판 쉬기)
",버스커 버스커,록/메탈
67,68,"
Good Boy (Feat. 용준형 Of 비스트)
",백지영,댄스
68,69,"
니가 필요해 (I Need You)
",케이윌,발라드
69,70,"
지독하게
",FTISLAND (FT아일랜드),록/메탈
