,ranks,title,singer,genre
0,1,"
Gee
",소녀시대 (GIRLS' GENERATION),댄스
1,2,"
I Don't Care
",2NE1,댄스
2,3,"
Abracadabra
",브라운아이드걸스,댄스
3,4,"
Heartbreaker
",G-DRAGON,댄스
4,5,"
Again＆Again
",2PM,댄스
5,6,"
심장이 없어
",에이트,발라드
6,7,"
사랑비
",김태우,발라드
7,8,"
Fire
",2NE1,댄스
8,9,"
쏘리 쏘리 (Sorry, Sorry)
",SUPER JUNIOR (슈퍼주니어),댄스
9,10,"
Lollipop
","BIGBANG (빅뱅), 2NE1",댄스
10,11,"
외톨이
",아웃사이더,랩/힙합
11,12,"
8282
",다비치,댄스
12,13,"
눈물이 뚝뚝
",케이윌,발라드
13,14,"
사고쳤어요
",다비치,발라드
14,15,"
TTL (Time To Love)
","티아라, 초신성",댄스
15,16,"
소원을 말해봐 (Genie)
",소녀시대 (GIRLS' GENERATION),댄스
16,17,"
사랑한 후에
",박효신,발라드
17,18,"
헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)
",리쌍,랩/힙합
18,19,"
토요일밤에
",손담비,댄스
19,20,"
Hot Issue
",4minute,댄스
20,21,"
Muzik
",4minute,댄스
21,22,"
Diva
",애프터스쿨,댄스
22,23,"
미스터
",카라,댄스
23,24,"
Insomnia (불면증)
",휘성 (Realslow),R&B/Soul
24,25,"
My Man
",다비치,댄스
25,26,"
YOU AND I
",박봄 (Park Bom),댄스
26,27,"
내 귀에 캔디 (Feat. 택연 Of 2PM)
",백지영,댄스
27,28,"
사랑..그 놈
",바비 킴,R&B/Soul
28,29,"
반쪽
",박화요비,R&B/Soul
29,30,"
이젠 남이야 (Feat. Baby-J Of Jewelry)
",김경록 (V.O.S),발라드
30,31,"
여성시대
","씨야, 다비치, 티아라",댄스
31,32,"
잊지 말아요
",백지영,발라드
32,33,"
니가 밉다
",2PM,댄스
33,34,"
결혼해 줄래 (Feat. BIZNIZ)
",이승기,댄스
34,35,"
Wanna
",카라,댄스
35,36,"
잘가요 내사랑
",에이트,발라드
36,37,"
거짓말 (Part.1)
",티아라,댄스
37,38,"
Ring Ding Dong
",SHINee (샤이니),댄스
38,39,"
Sign
",브라운아이드걸스,댄스
39,40,"
우리 헤어지자
",이승기,발라드
40,41,"
Honey
",카라,댄스
41,42,"
큰일이다
",V.O.S,발라드
42,43,"
AH
",애프터스쿨,댄스
43,44,"
라차타 (LA chA TA)
",f(x),댄스
44,45,"
사랑해 (Feat. 유리상자 박승화)
",SG 워너비,발라드
45,46,"
친구의 고백
",2am,발라드
46,47,"
부른다
",서인국,발라드
47,48,"
비와 당신 (영화 '라디오스타' 삽입곡)
",럼블피쉬,록/메탈
48,49,"
오랜만이야
",임창정,발라드
49,50,"
바래
",FTISLAND (FT아일랜드),록/메탈
50,51,"
러브119 (Feat. MC몽)
",케이윌,발라드
51,52,"
마음이 다쳐서 (Feat. Crown J)
",나비 (Navi),발라드
52,53,"
사랑..다 거짓말
",린,발라드
53,54,"
내 머리가 나빠서
",SS501,"발라드, 국내드라마"
54,55,"
터질 것 같아
",지아,발라드
55,56,"
연애소설
",가비엔제이,발라드
56,57,"
너라고 (It's You)
",SUPER JUNIOR (슈퍼주니어),댄스
57,58,"
Heartbeat
",2PM,댄스
58,59,"
붉은 노을
",BIGBANG (빅뱅),"댄스, 랩/힙합"
59,60,"
Chocolate Love (Retro Pop Ver.)
",소녀시대 (GIRLS' GENERATION),댄스
60,61,"
그 놈 목소리
",씨야,댄스
61,62,"
떠나지마...
",윤미래,R&B/Soul
62,63,"
In The Club
",2NE1,댄스
63,64,"
Kiss (Feat. CL)
",산다라박,댄스
64,65,"
못된 여자 II (With 서인영)
",원투,발라드
65,66,"
Boo
",아이유,댄스
66,67,"
30분전 (Feat. 임정희)
",이현,발라드
67,68,"
헤어지는 중입니다
",이은미,발라드
68,69,"
줄리엣 (Juliette)
",SHINee (샤이니),댄스
69,70,"
Indian Boy (Feat. 장근이, B.I)
",MC몽,"댄스, 랩/힙합"
70,71,"
Pretty Girl
",카라,댄스
71,72,"
눈물아 안녕
",아이비,발라드
72,73,"
구속
",플라이 투 더 스카이,발라드
73,74,"
냉면
",명카드라이브,댄스
74,75,"
살만해
",브랜뉴데이,발라드
75,76,"
내사랑 울보
",SG 워너비,발라드
76,77,"
Candy Man
",브라운아이드걸스,댄스
77,78,"
Pretty Boy
",2NE1,댄스
78,79,"
총맞은것처럼
",백지영,발라드
79,80,"
Love Like This (네게로)
",SS501,댄스
80,81,"
나쁜 여자야
",FTISLAND (FT아일랜드),발라드
81,82,"
전화 한 번 못하니 (Feat. 미스에스 태혜영)
",왁스,발라드
