,ranks,title,singer,genre
0,1,"
죄와벌
",SG 워너비,발라드
1,2,"
겁쟁이
",버즈,록/메탈
2,3,"
사랑했나봐
",윤도현,록/메탈
3,4,"
살다가
",SG 워너비,발라드
4,5,"
광(狂)
",SG 워너비,발라드
5,6,"
세글자 (드라마 '루루공주' 김정은 메인 테마)
",엠투엠 (M To M),발라드
6,7,"
제자리 걸음
",김종국,발라드
7,8,"
가시
",버즈,록/메탈
8,9,"
I Love U Oh Thank U (Feat. 김태우 Of God)
",MC몽,랩/힙합
9,10,"
둘이서 (CF - 빙그레 '바나나맛 우유')
",채연,댄스
10,11,"
너에게 전하는 아홉가지 바램
",KCM,발라드
11,12,"
Smile Again
",KCM,발라드
12,13,"
사랑은...하나다
",테이,발라드
13,14,"
체념 後(후)
",빅마마,R&B/Soul
14,15,"
귀로
",나얼,R&B/Soul
15,16,"
내 눈물이 하는 말
",견우 (Kyunwoo),발라드
16,17,"
Fly (Feat. Amin. J of Soulciety)
",에픽하이 (EPIK HIGH),랩/힙합
17,18,"
사랑인걸
",모세,발라드
18,19,"
사랑스러워
",김종국,댄스
19,20,"
나에게로 떠나는 여행
",버즈,록/메탈
20,21,"
별, 바람, 햇살 그리고 사랑
",김종국,발라드
21,22,"
꽃피는 봄이오면
",BMK,발라드
22,23,"
안부 (Duet With 나윤권)
",별,발라드
23,24,"
아니
",거미,R&B/Soul
24,25,"
일년이면
",휘성 (Realslow),R&B/Soul
25,26,"
Y (Please Tell Me Why)
",프리스타일,랩/힙합
26,27,"
가슴 아파도
",환희,"발라드, 국내드라마"
27,28,"
천하무적 (Feat. 박장근 Of Supersta)
",MC몽,랩/힙합
28,29,"
Super Star
",쥬얼리,댄스
29,30,"
한숨만
",이정(J.Lee),R&B/Soul
30,31,"
으라차차
",럼블피쉬,록/메탈
31,32,"
보통날
",god,발라드
32,33,"
내가 웃는게 아니야 (Feat. ALI)
",리쌍,랩/힙합
33,34,"
눈물이 나요
",조성모,발라드
