"		지점번호",지점명,일시,일조합,일조율,일사합
"		152",울산,1월,211.5,67.72,
"		152",울산,2월,208.7,68.34,
"		152",울산,3월,204.5,55.06,
"		152",울산,4월,241.5,61.43,
"		152",울산,5월,219,50.26,
"		152",울산,6월,212.7,48.78,
"		152",울산,7월,235.8,53.22,
"		152",울산,8월,166.3,39.83,
"		152",울산,9월,136.9,36.79,
"		152",울산,10월,214.9,61.4,
"		152",울산,11월,220.4,71.21,
"		152",울산,12월,230.4,75.64,
"		",,,,,
"	",,,,,
